Ubicación,Código de moneda,CPV prom.,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Todas las conv.,Clics,CTR,Porcentaje de conv.,Conversiones,Costo/conv.
"5.0|km|Hiper Super, Avenida Sabattini, AUX, Córdoba",ARS,"0,91","473,31",627332,372843,"59,43%","0,8","296922,99","711,15",236,"0,04%","0,01%","31,15","9532,92"
Salta,ARS,0,"842,18",351997,21136,6%,"14,03","296444,87","244,91",18156,"5,16%","0,27%","57,08","5193,92"
"5.0|millas|Paseo Super Rafaela, Calle Conscripto Elias Zurbriggen, Rafaela, Santa Fe",ARS,0,"126,71",2330253,2657,"0,11%","111,13","295267,8",6,2657,"0,11%",0%,0,0
"4.0|km|Paseo Super, Scalabrini Ortiz Norte, San Juan",ARS,0,"112,25",2626929,2765,"0,11%","106,65","294880,11","13,09",2765,"0,11%","0,11%","3,09","95415,26"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"346,42",836481,37075,"4,43%","7,82","289773,62",6128,20952,"2,5%","1,6%",592,"489,48"
Ciudad de Santiago del Estero,ARS,0,"48,12",5946411,20650,"0,35%","13,86","286145,16","1067,28",20650,"0,35%","4,31%","890,28","321,41"
"2.0|km|Barrio Vinalar, Doctor Santiago Corbalan, Santiago del Estero",ARS,0,"81,35",3438466,3962,"0,12%","70,6","279707,69","9,97",3962,"0,12%","0,05%","1,97","142295,64"
"4.0|km|La Banda, Santiago del Estero",ARS,"3,82","1685,49",165872,14045,"8,47%","19,91","279575,21","1518,02",13071,"7,88%","3,01%","422,45","661,79"
"5.0|km|Hiper Super, Avenida Sabattini, AUX, Córdoba",ARS,0,"82,24",3368799,2979,"0,09%",93,"277053,36",4,2979,"0,09%",0%,0,0
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"43,39",6282172,9887,"0,16%","27,57","272586,28","408,69",9887,"0,16%","1,68%","165,69","1645,18"
Argentina,ARS,"0,68","269,92",1009027,130779,"12,96%","2,08","272355,74","7067,5",24121,"2,39%","4,36%","5704,5","47,74"
4.0|km|Hipermercados Super cerca de Tucumán,ARS,0,"110,5",2436008,2558,"0,11%","105,23","269181,98",12,2558,"0,11%","0,23%",6,"44863,66"
"4.0|km|Villa Belgrano, Córdoba",ARS,0,"1580,35",170271,72368,"42,5%","3,72","269087,04","34378,63",72368,"42,5%","29,11%","21065,63","12,77"
"4.0|km|Fontana, Chaco",ARS,0,"2573,53",104016,21579,"20,75%","12,41","267687,95","9075,99",21579,"20,75%","3,82%","825,27","324,36"
Ciudad de Corrientes,ARS,0,"43,09",6185102,16958,"0,27%","15,72","266545,54","370,34",16957,"0,27%","1,34%","227,34","1172,46"
"6.0|km|Hiper Super, EIC, Avenida Tomás Guido, Posadas, Misiones",ARS,0,"116,06",2278944,2539,"0,11%","104,18","264503,63",8,2539,"0,11%","0,16%",4,"66125,91"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"3699,7",71205,6667,"9,36%","39,51","263437,28","1866,27",6667,"9,36%","8,04%",536,"491,48"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"56,32",4654836,13596,"0,29%","19,28","262151,07","2746,21",13594,"0,29%","16,76%","2279,21","115,02"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"65,38",4002213,12532,"0,31%","20,88","261674,86","1552,8",12532,"0,31%","9,06%","1135,8","230,39"
Salta,ARS,0,"44,07",5893216,7900,"0,13%","32,87","259703,94","459,2",7900,"0,13%","2,64%","208,2","1247,37"
"Asunción, Asunción, Paraguay",ARS,0,"63,93",4041298,16043,"0,4%","16,1","258362,75","319,95",16043,"0,4%","1,89%","303,95","850,02"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"747,86",343539,19134,"5,57%","13,43","256919,13","247,33",15958,"4,65%","0,36%","69,68","3687,11"
Ciudad de Corrientes,ARS,0,"57,61",4458323,17828,"0,4%","14,41","256863,26","486,17",17828,"0,4%","1,62%","288,17","891,35"
