Ubicación,Código de moneda,CPV prom.,CPM prom.,Impr.,Interacciones,Porcentaje de interacción,Costo prom.,Costo,Todas las conv.,Clics,CTR,Porcentaje de conv.,Conversiones,Costo/conv.
"San Miguel, Provincia de Buenos Aires",ARS,0,"40,53",1330439,6889,"0,52%","7,83","53919,34","76,94",6889,"0,52%","0,99%","67,94","793,62"
4.0|km|Hipermercados Super cerca de Tucumán,ARS,0,"530,4",101518,216,"0,21%","249,28","53845,01",1,216,"0,21%",0%,0,0
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"44,87",1199968,2992,"0,25%","17,99","53836,63","1468,17",2992,"0,25%","3,7%","110,75","486,11"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"41,2",1304142,1562,"0,12%","34,4","53727,29","161,21",1562,"0,12%","4,49%","70,21","765,25"
Posadas,ARS,0,"73,64",728583,3161,"0,43%","16,97","53654,56","736,37",3161,"0,43%","20,99%","663,37","80,88"
"4.0|km|Godoy Cruz, Mendoza",ARS,0,"144,64",370488,6759,"1,82%","7,93","53588,79","1018,91",6759,"1,82%","3,54%","238,95","224,27"
"San Juan, Provincia de San Juan",ARS,0,"31,56",1697633,4423,"0,26%","12,11","53578,21","1059,77",4423,"0,26%","21,16%","935,77","57,26"
Salta,ARS,0,"52,3",1023035,4519,"0,44%","11,84","53504,5","499,44",4519,"0,44%","8,46%","382,44","139,9"
"Rafaela, Provincia de Santa Fe",ARS,0,"880,74",60732,3387,"5,58%","15,79",53489,"79,65",2862,"4,71%","0,43%","14,57","3671,81"
"3.0|km|Córdoba, Córdoba",ARS,0,"108,32",493803,1957,"0,4%","27,33",53489,"725,06",1957,"0,4%","23,25%","455,06","117,54"
Salta,ARS,0,"977,24",54475,4235,"7,77%","12,57","53235,11","26,65",2394,"4,39%","0,3%","12,65","4208,89"
"5.0|millas|Godoy Cruz, Mendoza",ARS,0,"64,82",820135,1089,"0,13%","48,82","53160,2","87,39",1089,"0,13%","0,09%",1,"53160,2"
"Salta, Argentina",ARS,0,"78,02",681367,5071,"0,74%","10,48","53157,45","200,27",5071,"0,74%","2,94%","149,27","356,13"
"Mendoza, Provincia de Mendoza",ARS,0,"42,04",1264173,1495,"0,12%","35,55","53146,56","116,4",1495,"0,12%","2,37%","35,4","1501,16"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"57,2",928201,1165,"0,13%","45,58","53096,44",60,1165,"0,13%",0%,0,0
"4.0|km|Super [Sucursal: SANTA FE – Hipermercado Rafaela] | Super S.A., Calle Conscripto Elias Zurbriggen, Rafaela, Santa Fe",ARS,0,"52,41",1012422,1698,"0,17%","31,25",53064,"228,26",1698,"0,17%","8,26%","140,26","378,33"
Ciudad de Santiago del Estero,ARS,0,"32,31",1637899,5136,"0,31%","10,3","52919,48","714,55",5136,"0,31%","11,93%","612,55","86,39"
Ciudad de Corrientes,ARS,0,"145,32",363823,9311,"2,56%","5,68","52870,59","145,02",7644,"2,1%","1,21%","113,02","467,81"
"Rosario, Provincia de Santa Fe",ARS,0,"46,7",1128702,1216,"0,11%","43,34","52706,22",92,1216,"0,11%",0%,0,0
"3.0|km|Resistencia, Chaco",ARS,0,"48,64",1080769,1845,"0,17%","28,49","52566,73","154,66",1845,"0,17%","7,3%","134,66","390,36"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"62,19",842347,1370,"0,16%","38,24","52384,92","181,41",1370,"0,16%","6,96%","95,41","549,07"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"63,53",824237,3335,"0,4%","15,7","52366,77","1910,22",3335,"0,4%","2,3%","76,85","681,39"
Ciudad de Santiago del Estero,ARS,0,"34,69",1505864,2294,"0,15%","22,77","52232,15","264,17",2294,"0,15%","4,32%","99,17","526,68"
"San Juan, Provincia de San Juan",ARS,0,"48,77",1064699,918,"0,09%","56,56","51920,23","146,01",918,"0,09%",0%,"0,01","9632694,82"
"20.0|millas|Obanta, Tucumán",ARS,0,"47,16",1100769,3744,"0,34%","13,87","51911,63","144,32",3744,"0,34%","2,81%","105,32","492,89"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"297,18",174631,6210,"3,56%","8,36","51895,97","276,18",5000,"2,86%","2,76%","171,18","303,16"
"Rosario, Provincia de Santa Fe",ARS,0,"44,04",1177056,13986,"1,19%","3,71","51839,59","256,89",13986,"1,19%","1,67%","232,89","222,59"
"7.0|km|La Banda, Santiago del Estero",ARS,0,"97,3",532575,962,"0,18%","53,87","51818,33","18,95",962,"0,18%","0,2%","1,95","26562,1"
"2.0|km|Mendiolaza, Córdoba",ARS,0,"1259,08",40923,20826,"50,89%","2,47","51525,33","2372,13",20826,"50,89%","7,22%","1504,13","34,26"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"62,77",819689,2350,"0,29%","21,89","51450,84","206,75",2350,"0,29%","4,84%","113,75","452,3"
Salta,ARS,0,"82,43",624197,457,"0,07%","112,58","51450,33",1,457,"0,07%",0%,0,0
"Mendoza, Provincia de Mendoza",ARS,0,"79,49",643884,540,"0,08%","94,78","51180,74",43,540,"0,08%",0%,0,0
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"78,04",655154,1104,"0,17%","46,31","51126,63","37,5",1104,"0,17%","0,06%","0,69","73882,42"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,125,406758,3533,"0,87%","14,39","50843,61","268,07",3528,"0,87%","6,82%","241,07","210,9"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"307,6",164900,5907,"3,58%","8,59","50723,63",739,3248,"1,97%","0,63%",37,"1370,91"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"58,99",858643,3215,"0,37%","15,75","50650,14","1259,97",3215,"0,37%","29,11%","935,97","54,12"
"Rosario, Provincia de Santa Fe",ARS,0,"320,22",158066,7982,"5,05%","6,34","50616,47",144,3750,"2,37%","1,37%",109,"464,37"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"1561,55",32320,2507,"7,76%","20,13","50469,17","10,18",929,"2,87%","0,01%","0,18","273968,83"
"Resistencia, Provincia del Chaco",ARS,0,"43,9",1145767,2665,"0,23%","18,87","50294,24","759,78",2665,"0,23%","16,14%","430,06","116,95"
"Rosario, Provincia de Santa Fe",ARS,0,"955,72",52614,3370,"6,41%","14,92","50284,05","38,45",1649,"3,13%","0,16%","5,45","9232,53"
Salta,ARS,0,"36,57",1372107,2502,"0,18%","20,05","50174,21","319,96",2502,"0,18%","5,63%","140,96","355,95"
Salta,ARS,0,"3866,51",12876,1150,"8,93%","43,29","49785,21","183,51",1150,"8,93%","3,56%","40,93","1216,37"
"Rosario, Provincia de Santa Fe",ARS,0,"221,73",223187,8978,"4,02%","5,51","49486,97","692,42",5606,"2,51%","0,24%","21,87","2262,44"
Posadas,ARS,0,"82,76",596598,4187,"0,7%","11,79","49372,74","951,69",4187,"0,7%","16,69%","698,69","70,66"
Salta,ARS,0,"173,5",284079,9922,"3,49%","4,97","49287,75","771,91",6024,"2,12%","0,91%","90,01","547,55"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"36,49",1343243,2151,"0,16%","22,79","49012,08","128,58",2151,"0,16%","1,56%","33,58","1459,64"
"Rosario, Provincia de Santa Fe",ARS,0,"83,9",582712,6217,"1,07%","7,86","48889,9",411,6157,"1,06%","0,11%",7,"6984,27"
3.0|km|Santiago del Estero,ARS,0,"48,88",995366,2155,"0,22%","22,58","48654,69","296,76",2155,"0,22%","10,48%","225,76","215,51"
"20.0|millas|Godoy Cruz, Mendoza",ARS,0,55,881571,2819,"0,32%","17,2","48490,11","164,19",2819,"0,32%","1,43%","40,19","1206,61"
"4.0|km|Paseo Super Rafaela, Calle Conscripto Elias Zurbriggen, Rafaela, Santa Fe",ARS,0,"130,42",371359,333,"0,09%","145,45","48433,99",1,333,"0,09%","0,3%",1,"48433,99"
"San Juan, Provincia de San Juan",ARS,0,"207,53",233179,7484,"3,21%","6,47","48392,52","339,35",5958,"2,56%","2,92%","218,19","221,79"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"265,1",182451,8071,"4,42%","5,99","48368,35","1085,31",5821,"3,19%","0,61%","49,4","979,18"
"Mendoza, Provincia de Mendoza",ARS,0,"47,34",1019825,1814,"0,18%","26,61","48274,07","214,57",1814,"0,18%","3,39%","61,57","784,07"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"357,13",135130,6203,"4,59%","7,78","48258,71",754,4934,"3,65%","0,31%",19,"2539,93"
"Rosario, Provincia de Santa Fe",ARS,0,"51,62",933389,1511,"0,16%","31,89","48182,5","151,26",1511,"0,16%","6,57%","99,26","485,41"
"San Juan, Provincia de San Juan",ARS,0,"180,5",265788,485,"0,18%","98,92","47973,89",0,485,"0,18%",0%,0,0
"3.0|km|Hiper Super, Santiago del Estero",ARS,0,"521,57",91866,628,"0,68%","76,3","47914,66",23,628,"0,68%",0%,0,0
"Resistencia, Provincia del Chaco",ARS,0,"400,32",119425,1032,"0,86%","46,33","47808,48","37,3",1032,"0,86%","0,03%","0,3","158307,8"
"10.0|km|Villa Allende, Córdoba",ARS,0,"122,61",388282,7206,"1,86%","6,61","47606,26","6655,02",7125,"1,84%","3,23%","232,56","204,7"
Ciudad de Santiago del Estero,ARS,0,"306,24",155075,6215,"4,01%","7,64","47490,52","617,76",3516,"2,27%","6,73%","418,14","113,57"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"56,1",846368,987,"0,12%","48,1","47479,08",52,987,"0,12%","0,2%",2,"23739,54"
"Mendoza, Provincia de Mendoza",ARS,0,"426,91",111213,5510,"4,95%","8,62","47478,11","307,52",2628,"2,36%","0,35%","19,55","2428,55"
"3.0|km|Avenida Ambrosio Olmos 929, Córdoba",ARS,0,"101,94",465300,237,"0,05%","200,14","47432,11",8,237,"0,05%","0,42%",1,"47432,11"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"1167,04",40508,3179,"7,85%","14,87","47274,56","16,43",1143,"2,82%","0,14%","4,43","10666,91"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"290,73",161928,5424,"3,35%","8,68","47077,46","67,27",5009,"3,09%","0,08%","4,27","11035,39"
Salta,ARS,0,"40,25",1163875,1281,"0,11%","36,57","46845,62","80,08",1281,"0,11%","0,4%","5,08","9229,75"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"47,22",991374,1800,"0,18%","26,01","46816,97","244,83",1800,"0,18%","8,6%","154,83","302,37"
"Resistencia, Provincia del Chaco",ARS,0,"346,66",134813,4254,"3,16%","10,99","46734,11","100,72",3120,"2,31%","0,22%","9,29","5031,38"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"31,89",1462322,10171,"0,7%","4,58","46629,33","450,94",10171,"0,7%","4,07%","413,94","112,65"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"79,19",588676,1873,"0,32%","24,89","46614,96",205,1873,"0,32%","1,33%",25,"1864,6"
"Resistencia, Provincia del Chaco",ARS,0,"927,89",50112,4198,"8,38%","11,08","46498,53","66,01",2341,"4,67%","0,03%","1,21","38575,82"
"5.0|km|San Miguel de Tucumán, Tucumán",ARS,0,"172,29",269699,6832,"2,53%","6,8","46465,48",307,4239,"1,57%","2,72%",186,"249,81"
"Mendoza, Provincia de Mendoza",ARS,0,"89,57",518218,1915,"0,37%","24,24","46416,49","712,25",1915,"0,37%","2,9%","55,63","834,4"
"San Juan, Provincia de San Juan",ARS,0,"34,77",1331845,3054,"0,23%","15,16","46308,61","1008,95",3054,"0,23%","26,62%","812,95","56,96"
"20.0|millas|Paseo Super Rafaela, Calle Conscripto Elias Zurbriggen, Rafaela, Santa Fe",ARS,0,"127,51",362524,390,"0,11%","118,53","46226,26",4,390,"0,11%",0%,0,0
"3.0|km|Posadas, Misiones",ARS,0,"52,24",884380,4283,"0,48%","10,79","46200,4","181,77",4283,"0,48%","2,66%","113,77","406,1"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"80,32",574806,490,"0,09%","94,23","46170,39",6,490,"0,09%",0%,0,0
"San Juan, Provincia de San Juan",ARS,0,"972,43",47312,3881,"8,2%","11,85","46007,84","44,55",2650,"5,6%",0%,0,0
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"48,05",955282,3130,"0,33%","14,67","45904,76","808,14",3130,"0,33%","21,54%","674,14","68,09"
"20.0|millas|Chimbas, San Juan",ARS,0,"56,43",813228,3186,"0,39%","14,4","45887,69","129,06",3186,"0,39%","1,63%","52,06","881,39"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"78,36",584636,559,"0,1%","81,95","45809,16",6,559,"0,1%",0%,0,0
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"38,93",1175160,2049,"0,17%","22,33","45750,99","109,16",2049,"0,17%","2,5%","51,16","894,25"
Salta,ARS,"2,44","754,97",60576,16985,"28,04%","2,69","45733,1","152,32",542,"0,89%","0,51%","87,06","525,29"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"79,17",574048,630,"0,11%","72,14","45446,67",6,630,"0,11%",0%,0,0
"Rosario, Provincia de Santa Fe",ARS,0,"779,84",57951,4834,"8,34%","9,35","45192,62","75,31",3970,"6,85%","0,21%","10,31","4381,92"
"San Juan, Provincia de San Juan",ARS,0,"428,83",105367,4073,"3,87%","11,09","45184,1","131,27",3279,"3,11%","0,24%","9,62","4697,63"
"5.0|km|Mendoza, Capital, Mendoza",ARS,0,"60,78",742689,6097,"0,82%","7,4","45143,73","375,18",6097,"0,82%","5,19%","316,18","142,78"
Posadas,ARS,0,"142,61",315466,492,"0,16%","91,44","44988,89",0,492,"0,16%",0%,0,0
"Mendoza, Provincia de Mendoza",ARS,0,"66,39",676878,3054,"0,45%","14,71","44937,06","563,79",3054,"0,45%","15,28%","466,79","96,27"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"81,68",549624,1127,"0,21%","39,84","44895,86","106,78",1127,"0,21%","5,75%","64,78","693,03"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"77,17",581654,2195,"0,38%","20,45","44887,39","349,54",2195,"0,38%","13,15%","288,54","155,57"
"20.0|millas|Fontana, Chaco",ARS,0,"47,66",937891,4150,"0,44%","10,77","44703,29","163,96",4150,"0,44%","2,65%","109,96","406,56"
Salta,ARS,0,"279,89",158856,5199,"3,27%","8,55","44462,91","18,83",4844,"3,05%","0,04%","1,83","24360,28"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"92,09",482568,5400,"1,12%","8,23","44438,5",444,5318,"1,1%","0,61%",33,"1346,62"
"Rafaela, Provincia de Santa Fe",ARS,0,"157,01",282898,909,"0,32%","48,86","44418,21","615,09",909,"0,32%","45,44%","413,09","107,53"
"Rafaela, Provincia de Santa Fe",ARS,0,"45,44",972068,1301,"0,13%","33,95","44167,43","84,92",1301,"0,13%","1,68%","21,92","2015,37"
"Resistencia, Provincia del Chaco",ARS,0,"4790,38",9203,619,"6,73%","71,22","44085,83","104,01",619,"6,73%","0,16%","1,01","43447,11"
"4.0|km|La Banda, Santiago del Estero",ARS,0,"930,09",47314,3052,"6,45%","14,42","44006,29","45,42",2923,"6,18%","0,38%","11,46","3841,49"
Salta,ARS,0,"78,89",556643,509,"0,09%","86,27","43911,89",16,509,"0,09%",0%,0,0
"Resistencia, Provincia del Chaco",ARS,0,"117,48",372788,1879,"0,5%","23,31","43794,44","76,08",1879,"0,5%","3,25%","61,08","717,02"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"62,76",696307,4248,"0,61%","10,29","43699,58","1241,92",4248,"0,61%","21,09%","895,92","48,78"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"953,64",45767,2504,"5,47%","17,43","43645,36","20,98",1489,"3,25%","0,32%","7,98","5465,95"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"29,29",1489227,4088,"0,27%","10,67","43614,93","1260,11",4088,"0,27%","24,34%","995,11","43,83"
"Rosario, Provincia de Santa Fe",ARS,0,"42,12",1033336,2001,"0,19%","21,75","43526,06","70,81",2001,"0,19%","0,84%","16,81","2588,57"
"Mendoza, Provincia de Mendoza",ARS,0,"134,89",322416,6482,"2,01%","6,71","43491,25","1047,28",6482,"2,01%",4%,"259,58","167,54"
"Rafaela, Provincia de Santa Fe",ARS,0,"79,05",549804,1482,"0,27%","29,33","43461,12","470,25",1482,"0,27%","25,32%","375,25","115,82"
"4.0|km|Godoy Cruz, Mendoza",ARS,0,"4639,77",9361,1023,"10,93%","42,46","43432,93","376,18",1023,"10,93%","7,87%","80,51","539,47"
"San Juan, Provincia de San Juan",ARS,0,"37,92",1139083,2908,"0,26%","14,85","43194,98","167,02",2908,"0,26%","3,41%","99,02","436,2"
"4.0|km|Godoy Cruz, Mendoza",ARS,0,"751,45",57461,4395,"7,65%","9,82","43179,28","468,65",2624,"4,57%","7,48%","328,84","131,31"
Posadas,ARS,0,"296,82",145455,6267,"4,31%","6,89","43173,3","1127,24",4541,"3,12%","14,73%","923,24","46,76"
"Mendoza, Provincia de Mendoza",ARS,0,"66,51",644236,624,"0,1%","68,67","42850,91",58,624,"0,1%",0%,0,0
"Mendoza, Provincia de Mendoza",ARS,0,"647,48",65998,4091,"6,2%","10,45","42732,28","59,27",2781,"4,21%","0,23%","9,34","4577,31"
"Mendoza, Provincia de Mendoza",ARS,0,"37,92",1124779,2017,"0,18%","21,15",42655,"113,09",2017,"0,18%","1,05%","21,09","2022,68"
"Rosario, Provincia de Santa Fe",ARS,0,"104,2",408255,4520,"1,11%","9,41","42539,5","154,64",4520,"1,11%","2,31%","104,64","406,55"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"58,23",728990,1150,"0,16%","36,91","42452,07",54,1150,"0,16%",0%,0,0
"Mendoza, Provincia de Mendoza",ARS,0,"75,34",563011,766,"0,14%","55,37","42415,41","122,73",766,"0,14%","0,37%","2,85","14879,87"
"Mendoza, Provincia de Mendoza",ARS,0,"45,48",932453,1930,"0,21%","21,97","42408,89",283,1930,"0,21%","9,43%",182,"233,01"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"42,09",1006686,2824,"0,28%","15,01","42375,38","284,4",2824,"0,28%","3,15%","88,99","476,16"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"194,19",217356,2011,"0,93%","20,99","42208,7","158,52",2011,"0,93%","4,85%","97,52","432,82"
"5.0|km|Paseo Super Rafaela, Calle Conscripto Elias Zurbriggen, Rafaela, Santa Fe",ARS,0,"109,58",384584,312,"0,08%","135,07","42142,42",2,312,"0,08%",0%,0,0
"Rosario, Provincia de Santa Fe",ARS,0,"1047,84",40070,3255,"8,12%","12,9","41986,94","28,3",2028,"5,06%","0,1%","3,3","12725,85"
Posadas,ARS,0,"1330,04",31463,2953,"9,39%","14,17","41847,19","24,19",1342,"4,27%","0,31%","9,19","4555,94"
Ciudad de Corrientes,ARS,0,"105,13",397213,1441,"0,36%","28,98","41759,08","45,91",1441,"0,36%","1,45%","20,91","1997,06"
"Rosario, Provincia de Santa Fe",ARS,0,"1148,57",36345,2841,"7,82%","14,69","41744,85",11,1084,"2,98%","0,04%",1,"41744,85"
"Rosario, Provincia de Santa Fe",ARS,0,"205,67",202878,6237,"3,07%","6,69","41726,25","137,59",4414,"2,18%","1,54%","96,3","433,32"
"San Juan, Provincia de San Juan",ARS,0,"32,57",1276299,2976,"0,23%","13,97","41574,77","775,11",2976,"0,23%","2,39%","71,25","583,55"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"994,84",41700,1667,4%,"24,89","41484,65","20,16",1292,"3,1%","0,01%","0,16","259447,7"
"7.0|km|Hipermercado Super Resistencia, Resistencia, Chaco",ARS,0,"475,75",87107,43,"0,05%","963,75","41441,45",1,43,"0,05%",0%,0,0
"2.0|km|Avenida Raúl Alfonsín 3525, Corrientes",ARS,0,"528,77",78307,479,"0,61%","86,44","41406,11",0,479,"0,61%",0%,0,0
7.0|km|Corrientes,ARS,0,"88,37",468019,540,"0,12%","76,59","41360,41",9,540,"0,12%",0%,0,0
Salta,ARS,0,"78,47",525469,1703,"0,32%","24,21","41232,03",263,1703,"0,32%","0,23%",4,"10308,01"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"62,27",660550,748,"0,11%","54,99","41133,85",59,748,"0,11%",0%,0,0
"4.0|km|Godoy Cruz, Mendoza",ARS,0,"743,51",55239,4011,"7,26%","10,24","41071,02","52,18",3584,"6,49%","0,17%","6,92","5933,94"
Posadas,ARS,0,"272,9",150489,5098,"3,39%","8,06","41068,5","557,59",3909,"2,6%","8,81%","448,93","91,48"
"Encarnación, Itapúa, Paraguay",ARS,0,"80,81",508011,1888,"0,37%","21,74","41054,27","14,71",1888,"0,37%","0,41%","7,71","5324,48"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"37,07",1106786,2583,"0,23%","15,88","41029,07","553,27",2583,"0,23%","19,14%","494,27","83,01"
"Rosario, Provincia de Santa Fe",ARS,0,"80,58",508072,548,"0,11%","74,71","40940,89",8,548,"0,11%",0%,0,0
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"57,48",710731,3473,"0,49%","11,76","40850,95","1541,85",3473,"0,49%","2,69%","93,36","437,55"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"754,45",54037,3681,"6,81%","11,08","40768,34","19,09",3090,"5,72%","0,27%","10,09","4040,18"
"Resistencia, Provincia del Chaco",ARS,0,"519,31",78501,4447,"5,66%","9,17","40766,38","26,05",3330,"4,24%","0,22%","9,98","4085,41"
"7.0|km|Fontana, Chaco",ARS,0,"94,8",429659,582,"0,14%","69,99","40731,86",9,582,"0,14%",0%,0,0
"20.0|millas|Alderetes, Tucumán",ARS,0,"78,97",513553,625,"0,12%","64,89","40553,56",53,625,"0,12%",0%,0,0
"5.0|millas|Villa Krause, San Juan",ARS,0,"61,49",658229,873,"0,13%","46,36","40471,43","45,76",873,"0,13%","0,32%","2,76","14646,47"
"4.0|km|Super [Sucursal: CÓRDOBA – Hipermercado Lugones] | Super S.A., Fray Luis Beltrán, Córdoba",ARS,0,"48,4",835588,1327,"0,16%","30,48","40445,49","295,04",1327,"0,16%","10,48%","139,04","290,9"
"4.0|km|Godoy Cruz, Mendoza",ARS,0,"976,78",41298,3490,"8,45%","11,56","40339,18","172,07",2632,"6,37%","0,4%","14,05","2870,72"
"San Juan, Provincia de San Juan",ARS,0,"37,29",1080968,3297,"0,31%","12,23","40314,49","275,05",3297,"0,31%","6,31%","208,05","193,77"
Salta,ARS,0,"46,01",875807,3363,"0,38%","11,98","40295,87","238,81",3363,"0,38%","6,42%","215,81","186,72"
"Resistencia, Provincia del Chaco",ARS,0,"119,01",338503,1054,"0,31%","38,22","40283,72","874,32",1054,"0,31%","3,77%","39,69","1014,98"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"1095,88",36696,2368,"6,45%","16,98","40214,37","15,65",1595,"4,35%","0,15%","3,65","11027,88"
"3.0|km|Resistencia, Chaco",ARS,0,"45,82",873426,2231,"0,26%","17,94","40023,54","171,71",2231,"0,26%","1,96%","43,71","915,59"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"36,43",1094685,1948,"0,18%","20,47","39876,21","207,71",1948,"0,18%","8,81%","171,71","232,23"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"68,09",583647,6959,"1,19%","5,71","39741,61","300,63",6959,"1,19%","3,85%","267,63","148,5"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"243,17",163167,3832,"2,35%","10,35","39677,05","626,73",3431,"2,1%","9,15%","350,73","113,13"
"Resistencia, Provincia del Chaco",ARS,0,"52,09",758497,2067,"0,27%","19,11","39506,54","402,79",2067,"0,27%","14,46%","298,79","132,22"
"San Juan, Provincia de San Juan",ARS,0,"78,15",504660,714,"0,14%","55,24","39438,15",29,714,"0,14%",0%,0,0
"Encarnación, Itapúa, Paraguay",ARS,0,"100,52",392043,3494,"0,89%","11,28","39406,87","236,76",3494,"0,89%","4,49%","156,76","251,38"
"Rosario, Provincia de Santa Fe",ARS,0,"832,67",47282,1923,"4,07%","20,47","39370,07","9,43",1400,"2,96%","0,18%","3,43","11489,12"
Ciudad de Corrientes,ARS,0,"231,18",169916,5863,"3,45%","6,7","39280,75","54,16",2505,"1,47%","0,63%",37,"1061,64"
Salta,ARS,0,"48,26",812062,1935,"0,24%","20,25","39188,21","392,07",1935,"0,24%","14,77%","285,84","137,1"
10.0|km|Córdoba,ARS,0,"82,35",473607,2405,"0,51%","16,22","38999,81","406,27",2405,"0,51%","14,69%","353,27","110,4"
"Mendoza, Provincia de Mendoza",ARS,0,"36,09",1076635,2731,"0,25%","14,23","38857,29","188,77",2731,"0,25%","3,32%","90,77","428,07"
Ciudad de Corrientes,ARS,0,"49,77",779980,652,"0,08%","59,54","38820,86",9,652,"0,08%",0%,0,0
"Mendoza, Provincia de Mendoza",ARS,0,"68,14",569245,3413,"0,6%","11,36","38786,44","206,57",3413,"0,6%","3,97%","135,57","286,09"
"Resistencia, Provincia del Chaco",ARS,0,"41,35",937035,3285,"0,35%","11,79","38742,62","725,26",3285,"0,35%","16,14%","530,26","73,06"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,0,"40,96",943106,1835,"0,19%","21,05","38631,37","273,95",1835,"0,19%","9,21%","168,95","228,65"
"4.0|km|Godoy Cruz, Mendoza",ARS,0,"191,77",201304,965,"0,48%",40,"38604,64","157,45",965,"0,48%","8,96%","86,45","446,57"
"4.0|km|Rivadavia, San Juan",ARS,0,"921,02",41911,2501,"5,97%","15,43","38600,9","17,39",2410,"5,75%","0,26%","6,41","6024,36"
"Ciudad de Córdoba, Provincia de Córdoba",ARS,"0,73","212,19",181799,57798,"31,79%","0,67","38575,81","2926,33",899,"0,49%","4,35%","2515,33","15,34"
Provincia del Chaco,ARS,0,"63,15",609536,3663,"0,6%","10,51","38491,34","173,83",3661,"0,6%","2,62%","95,83","401,65"
"3.0|km|Hiper Super, Santiago del Estero",ARS,0,"96,01",400485,565,"0,14%","68,06","38452,52",21,565,"0,14%",0%,0,0
"San Juan, Provincia de San Juan",ARS,0,"5030,18",7640,445,"5,82%","86,36","38430,55","52,72",445,"5,82%","0,16%","0,72","53608,07"
"Rosario, Provincia de Santa Fe",ARS,0,"41,26",928525,1089,"0,12%","35,18","38313,98","41,58",1089,"0,12%","0,15%","1,58","24219,31"
"San Miguel de Tucumán, Provincia de Tucumán",ARS,0,"170,51",224644,7597,"3,38%","5,04","38304,62",364,6169,"2,75%","2,46%",187,"204,84"
"San Juan, Provincia de San Juan",ARS,0,"30,75",1244514,1760,"0,14%","21,74","38265,05","210,18",1760,"0,14%","5,64%","99,18","385,8"
"Santiago del Estero, Argentina",ARS,0,"42,86",891493,3329,"0,37%","11,48","38209,14","203,92",3329,"0,37%","2,91%","96,92","394,25"
"Rosario, Provincia de Santa Fe",ARS,0,"2585,16",14775,1836,"12,43%","20,8","38195,77","10,88",549,"3,72%","0,1%","1,88","20342,01"
5.0|millas|Corrientes,ARS,0,"64,95",586783,774,"0,13%","49,24","38111,23",6,774,"0,13%",0%,0,0
"Mendoza, Provincia de Mendoza",ARS,0,"41,29",922365,9429,"1,02%","4,04","38087,01","194,43",9429,"1,02%","1,55%","146,43","260,1"
"4.0|km|Guaymallén, Mendoza",ARS,0,"495,24",76883,4743,"6,17%","8,03","38075,45",137,4069,"5,29%","2,3%",109,"349,32"
"Mendoza, Provincia de Mendoza",ARS,0,"58,74",647795,2795,"0,43%","13,61","38053,65","870,74",2795,"0,43%","0,57%","16,01","2376,29"
